t(s)	ps01	ps02	ps03	ps04	ps05	ps06	ps07	ps08	ps09	ps10	ps11	ps12	ps13	ps14	ps15	ps16	ps17	ps18	ps19	ps20	ps21	
0.173026	2.92811e-005	-9.66724e-005	-3.06888e-005	0.000104616	2.41892e-005	3.41091e-005	5.24652e-005	0.000100051	8.56296e-005	6.91338e-005	1.94137e-005	2.66101e-005	2.22044e-005	4.2465e-005	-2.11915e-005	6.66698e-005	5.98812e-005	-3.34318e-005	-1.1008e-005	-9.29085e-006	2.25812e-006	
0.17411	-5.49944e-005	-0.000144012	-6.28392e-006	0.000163962	-6.02594e-005	-1.82019e-005	-3.0591e-005	-3.51221e-006	-2.4493e-005	-8.03051e-006	-6.40468e-005	2.40749e-005	1.62022e-005	3.7469e-005	5.38195e-005	0.000125544	0.000118941	-6.9124e-005	-2.69359e-005	-1.62039e-005	-7.29673e-005	
0.175131	3.37334e-005	-0.000100931	-6.14955e-005	3.04184e-006	-0.000172617	-4.45708e-005	3.79418e-005	3.81226e-005	5.31659e-005	8.92563e-005	-9.42894e-006	3.41274e-005	3.09624e-005	4.62339e-005	-3.07865e-005	2.10096e-005	-1.76386e-005	-0.000177452	-0.000154755	-0.000117782	-0.000101575	
0.176152	4.90473e-005	-8.45745e-005	-3.82939e-005	0.000115538	-5.45507e-005	4.37674e-005	8.41995e-006	0.000135626	0.00011298	5.42333e-005	5.44547e-005	2.92315e-005	6.37806e-006	1.61466e-005	-9.45911e-006	9.0024e-005	8.90165e-005	-0.000123946	-6.65932e-005	-2.506e-005	5.53146e-006	
0.177236	2.38916e-005	-0.000120097	-2.93068e-005	-0.000137783	-0.000224924	-2.56655e-005	5.45695e-005	3.25333e-005	7.23553e-005	9.71207e-005	-1.39471e-005	-3.52673e-007	4.30204e-005	6.51255e-005	-3.84916e-005	-4.03424e-005	-9.7866e-005	-0.000192288	-0.000118695	-4.76107e-005	-6.64951e-005	
0.178257	5.93106e-005	-0.000126302	-3.72342e-005	-0.000227836	-0.000216104	-4.73849e-005	5.46394e-006	-7.33543e-006	5.53071e-006	6.38513e-005	7.25888e-006	5.50729e-005	7.60301e-005	0.000102775	-5.39931e-005	-0.000102742	-0.000175608	-0.00022645	-0.000109704	-8.77253e-005	-0.00011157	
0.179342	3.02544e-005	-5.56459e-005	5.13997e-005	5.1603e-005	-0.000163104	4.10942e-005	7.65165e-005	0.000118486	9.00623e-005	7.85792e-005	2.35661e-006	9.4549e-005	0.000134212	0.000154207	3.89371e-005	7.56927e-005	2.06396e-005	-0.000143209	-6.58284e-005	-2.61969e-005	6.22618e-006	
0.180363	1.85237e-005	-0.000110453	-5.27296e-007	7.22915e-005	-0.000223741	-2.0539e-005	1.71722e-005	4.63788e-005	4.58318e-005	4.60405e-005	-1.23666e-006	4.32841e-005	2.82126e-005	3.89837e-005	3.26553e-005	0.000117106	4.10989e-005	-0.00020682	-0.000118114	-0.000108964	-0.00010829	
0.181447	1.90052e-005	-0.000128421	0.0001312	3.50317e-005	-9.17215e-005	1.30758e-005	0.000113726	6.83403e-005	0.000117497	0.000129664	-1.54103e-005	6.47338e-005	0.000102413	0.000133103	0.000133473	0.000174935	8.39834e-005	-0.000137935	-5.88443e-005	2.96211e-005	-3.55005e-005	
0.182468	-1.16426e-005	-0.00011779	-0.000106356	-6.84163e-005	-0.000164021	-6.00206e-005	-2.02727e-005	6.65443e-005	2.30757e-005	7.89144e-005	-4.79691e-005	-7.1062e-006	-1.22731e-005	2.46931e-005	-0.000107114	-2.96693e-005	-3.39786e-005	-0.00019272	-0.000146806	-0.000104035	-3.62481e-005	
0.183553	3.69829e-005	-0.000139698	7.44155e-005	-5.47438e-005	-5.56561e-006	5.68297e-005	6.30142e-005	0.000111454	0.000115445	9.42583e-005	2.425e-005	8.42024e-005	0.000120331	0.000166052	0.000128042	0.00010673	2.86465e-005	-3.80242e-005	3.58424e-005	7.78835e-005	-2.29321e-005	
0.184573	7.55863e-005	-0.00015584	-3.34405e-005	-0.000131306	-0.000304945	-9.5542e-005	9.24679e-006	2.33719e-005	2.99073e-005	7.58841e-005	2.51803e-005	3.35107e-005	6.19852e-005	0.000108567	-6.43262e-005	-5.87164e-005	-8.9811e-005	-0.000328999	-0.000227019	-0.000155833	-0.000100845	
0.185658	4.66509e-005	-7.38894e-005	-5.25859e-005	-0.000127146	-0.000362222	-6.01158e-005	8.47728e-005	0.000127335	0.000120621	0.000132659	3.34613e-005	0.000107238	0.000112925	7.80345e-005	-4.18264e-005	-3.1951e-005	-0.00010185	-0.000310453	-0.000170311	-0.000124322	-7.54166e-005	
0.186679	2.9648e-005	-8.22485e-005	-9.82413e-006	-9.44706e-006	-0.000130881	-5.69641e-006	-8.70251e-005	1.03854e-005	-5.23279e-006	3.514e-005	4.56282e-006	7.79097e-005	8.28731e-005	8.09306e-005	-3.0691e-005	-1.08937e-005	-1.13325e-005	-0.000137536	-8.6318e-005	-1.11841e-005	-5.19702e-005	
0.187763	1.60864e-005	-7.94805e-005	1.2164e-005	0.00011441	7.71382e-005	7.28058e-005	4.03656e-005	0.000118028	0.000103086	5.8924e-005	8.70329e-006	7.72873e-005	8.08712e-005	6.73827e-005	3.30216e-005	0.000138902	0.000106723	2.45952e-005	4.41356e-005	5.65186e-005	-2.60402e-005	
0.188784	8.79087e-007	-0.000110975	-3.16268e-005	-8.18115e-005	-0.000212397	-2.14325e-005	3.9992e-005	8.90026e-005	0.000103203	5.75778e-005	-2.25437e-005	5.41766e-005	6.72951e-005	7.15837e-005	-1.50035e-005	-2.04247e-007	-5.53354e-005	-0.000203321	-0.000140722	-0.000103107	-3.0244e-005	
0.189805	7.80167e-005	-9.84204e-005	-4.88234e-005	-6.0971e-005	-0.000338566	-3.61408e-005	4.94418e-005	0.00010341	0.00010882	8.22895e-005	4.60779e-005	5.42091e-005	7.55547e-005	5.38162e-005	-1.79164e-005	3.63937e-005	7.71234e-006	-0.000280588	-0.000175052	-9.5404e-005	-7.23254e-005	
